time,	T,	w,	th
1.937,	-3.8147,	66.6733,	95.8678
1.938,	3.8147,	66.6656,	95.9344
1.939,	0,	66.6656,	96.0011
1.94,	-3.8147,	66.6733,	96.0678
1.941,	3.8147,	66.6656,	96.1344
1.942,	0,	66.6656,	96.2011
1.943,	0,	66.6656,	96.2678
1.944,	-3.8147,	66.6733,	96.3344
1.945,	3.8147,	66.6656,	96.4011
1.946,	0,	66.6656,	96.4678
1.947,	0,	66.6656,	96.5344
1.948,	-3.8147,	66.6733,	96.6011
1.949,	3.8147,	66.6656,	96.6678
1.95,	0,	66.6656,	96.7344
1.951,	-3.8147,	66.6733,	96.8011
1.952,	3.8147,	66.6656,	96.8678
1.953,	0,	66.6656,	96.9344
1.954,	0,	66.6656,	97.0011
1.955,	-3.8147,	66.6733,	97.0678
1.956,	3.8147,	66.6656,	97.1345
1.957,	0,	66.6656,	97.2011
1.958,	-3.8147,	66.6733,	97.2678
1.959,	3.8147,	66.6656,	97.3345
1.96,	0,	66.6656,	97.4011
1.961,	0,	66.6656,	97.4678
1.962,	-3.8147,	66.6733,	97.5345
1.963,	3.8147,	66.6656,	97.6011
1.964,	0,	66.6656,	97.6678
1.965,	-3.8147,	66.6733,	97.7345
1.966,	3.8147,	66.6656,	97.8011
1.967,	0,	66.6656,	97.8678
1.968,	0,	66.6656,	97.9345
1.969,	-3.8147,	66.6733,	98.0011
1.97,	3.8147,	66.6656,	98.0678
1.971,	0,	66.6656,	98.1345
1.972,	-3.8147,	66.6733,	98.2011
1.973,	3.8147,	66.6656,	98.2678
1.974,	0,	66.6656,	98.3345
1.975,	0,	66.6656,	98.4011
1.976,	-3.8147,	66.6733,	98.4678
1.977,	3.8147,	66.6656,	98.5345
1.978,	0,	66.6656,	98.6011
1.979,	-3.8147,	66.6733,	98.6678
1.98,	3.8147,	66.6656,	98.7345
1.981,	0,	66.6656,	98.8011
1.982,	0,	66.6656,	98.8678
1.983,	-3.8147,	66.6733,	98.9345
1.984,	3.8147,	66.6656,	99.0012
1.985,	0,	66.6656,	99.0678
1.986,	0,	66.6656,	99.1345
1.987,	-3.8147,	66.6733,	99.2012
1.988,	3.8147,	66.6656,	99.2678
1.989,	0,	66.6656,	99.3345
1.99,	-3.8147,	66.6733,	99.4012
1.991,	3.8147,	66.6656,	99.4678
1.992,	0,	66.6656,	99.5345
1.993,	0,	66.6656,	99.6012
1.994,	-3.8147,	66.6733,	99.6678
1.995,	3.8147,	66.6656,	99.7345
1.996,	0,	66.6656,	99.8012
1.997,	-3.8147,	66.6733,	99.8678
1.998,	3.8147,	66.6656,	99.9345
1.999,	583.649,	65.4984,	100
2,	32749.2,	0,	100
2.001,	0,	0,	100
2.002,	0,	0,	100
2.003,	0,	0,	100
2.004,	0,	0,	100
2.005,	0,	0,	100
2.006,	0,	0,	100
2.007,	0,	0,	100
2.008,	0,	0,	100
2.009,	0,	0,	100
2.01,	0,	0,	100
2.011,	0,	0,	100
2.012,	0,	0,	100
2.013,	0,	0,	100
2.014,	0,	0,	100
2.015,	0,	0,	100
2.016,	0,	0,	100
2.017,	0,	0,	100
2.018,	0,	0,	100
2.019,	0,	0,	100
2.02,	0,	0,	100
2.021,	0,	0,	100
2.022,	0,	0,	100
2.023,	0,	0,	100
2.024,	0,	0,	100
2.025,	0,	0,	100
2.026,	0,	0,	100
2.027,	0,	0,	100
2.028,	0,	0,	100
2.029,	0,	0,	100
2.03,	0,	0,	100
2.031,	0,	0,	100
2.032,	0,	0,	100
2.033,	0,	0,	100
2.034,	0,	0,	100
2.035,	0,	0,	100
2.036,	0,	0,	100
2.037,	0,	0,	100
2.038,	0,	0,	100
2.039,	0,	0,	100
